H,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,task_0_success_rate,task_1_success_rate,task_2_success_rate,task_3_success_rate,task_4_success_rate,task_5_success_rate,task_6_success_rate,task_7_success_rate,task_8_success_rate,task_9_success_rate
5,500,460,0.92,0.8928936834221488,0.9407018705901475,55.802,277.252,287.252,0.2012681603739558,4.9646024071679395,13.231356078908778,0.96,0.96,0.9,1.0,1.0,0.98,0.94,1.0,0.58,0.88
10,500,475,0.95,0.9272318388284524,0.9659062547561506,26.898,264.43,274.43,0.10172068222213819,9.814374825667915,8.138716330156662,0.94,0.98,0.94,1.0,0.94,0.98,0.94,1.0,0.8,0.98
