split,step,suite,horizon,episodes_per_task,seed,initial_state_start,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,task_0_success_rate,task_1_success_rate,task_2_success_rate,task_3_success_rate,task_4_success_rate,task_5_success_rate,task_6_success_rate,task_7_success_rate,task_8_success_rate,task_9_success_rate,mean_successful_episode_steps,mean_successful_episode_calls,mean_failed_episode_steps,evaluation_stage_seconds,evaluation_reused
confirmation,1000,libero_10,20,10,27,30,20,50,100,78,0.78,0.6892964648501421,0.8499871761539459,17.05,334.21,344.21,0.051015828371383264,19.52867620954635,54.88955379463732,1.0,1.0,1.0,1.0,0.6,0.9,0.7,0.7,0.5,0.4,281.8076923076923,14.525641025641026,520.0,1588.8915892075747,True
confirmation,1500,libero_10,20,10,27,30,20,50,100,90,0.9,0.8256343384950865,0.9447708629393249,15.72,305.63,315.63,0.05143474135392468,19.3832255488768,51.89033035187982,0.8,1.0,1.0,0.9,1.0,1.0,1.0,0.8,0.5,1.0,281.81111111111113,14.577777777777778,520.0,1515.3629372911528,False
