subset,step,horizon,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,mean_successful_actions,mean_successful_calls,mean_successful_seconds
heldout_400,0,5,5,50,400,356,0.89,0.8555490895383555,0.9170313208808931,61.025,303.375,313.375,0.2011536876802637,4.967433873943276,14.351837708801613,276.6011235955056,55.71348314606742,13.605478937876295
heldout_400,1500,5,5,50,400,345,0.8625,0.8252880733424808,0.8928155132651543,60.6325,301.405,311.405,0.20116620494019674,4.966195790293967,14.443699970615853,266.55652173913046,53.71884057971015,13.34049112763816
all_500,0,5,5,50,500,444,0.888,0.8573463119959378,0.9127371998058978,61.02,303.322,313.322,0.20117235149445145,4.966798268828284,14.384730452723103,275.9932432432432,55.5990990990991,13.616266772090688
all_500,1500,5,5,50,500,429,0.858,0.8246703326752246,0.885870639554304,60.674,301.66,311.66,0.20113372671219254,4.967037277762675,14.445641017997172,265.5244755244755,53.50349650349651,13.308928338483264
training_layouts_100,0,5,5,50,100,88,0.88,0.8018790057328857,0.9300059356298052,61.0,303.11,313.11,0.20124707202005873,4.964255848368318,14.51630142840906,273.53409090909093,55.13636363636363,13.659908465048913
training_layouts_100,1500,5,5,50,100,84,0.84,0.7557973061072976,0.8990471151119521,60.84,302.68,312.68,0.20100436104136382,4.970403227637513,14.453405207522446,261.2857142857143,52.61904761904762,13.17929545445423
