condition,common_success_episodes,H5_mean_actions,candidate_mean_actions,candidate_relative_extra_actions,H5_mean_policy_calls,candidate_mean_policy_calls,initial_states_and_episode_rng_equal,first_observations_equal,evaluator_fingerprint_equal
Original H20,46,261.80434782608694,360.2173913043478,0.37590301419911976,52.76086956521739,18.52173913043478,True,100,True
OPSD 500 H20 historical,71,273.90140845070425,312.32394366197184,0.14027870622718153,55.183098591549296,16.112676056338028,True,100,True
OPSD 500 H20 current,73,273.32876712328766,307.63013698630135,0.1254949130456573,55.054794520547944,15.863013698630137,True,0,False
OPSD 1000 H20 current,75,269.02666666666664,275.73333333333335,0.02492937503097603,54.17333333333333,14.226666666666667,True,0,False
