condition,task_id,episode_index,initial_state_index,success,executed_actions,policy_calls
Original H20,6,2,32,False,520,26
Original H20,6,3,33,False,520,26
Original H20,6,4,34,True,290,15
Original H20,6,5,35,False,520,26
Original H20,6,6,36,True,363,19
Original H20,6,7,37,False,520,26
Original H20,6,8,38,False,520,26
Original H20,6,9,39,False,520,26
Original H20,7,0,30,True,423,22
Original H20,7,1,31,True,321,17
Original H20,7,2,32,True,375,19
Original H20,7,3,33,True,471,24
Original H20,7,4,34,True,518,26
Original H20,7,5,35,True,321,17
Original H20,7,6,36,True,348,18
Original H20,7,7,37,True,408,21
Original H20,7,8,38,True,347,18
Original H20,7,9,39,True,309,16
Original H20,8,0,30,True,492,25
Original H20,8,1,31,True,481,25
Original H20,8,2,32,False,520,26
Original H20,8,3,33,True,497,25
Original H20,8,4,34,False,520,26
Original H20,8,5,35,True,500,25
Original H20,8,6,36,False,520,26
Original H20,8,7,37,False,520,26
Original H20,8,8,38,False,520,26
Original H20,8,9,39,False,520,26
Original H20,9,0,30,False,520,26
Original H20,9,1,31,False,520,26
Original H20,9,2,32,False,520,26
Original H20,9,3,33,False,520,26
Original H20,9,4,34,False,520,26
Original H20,9,5,35,False,520,26
Original H20,9,6,36,False,520,26
Original H20,9,7,37,False,520,26
Original H20,9,8,38,False,520,26
Original H20,9,9,39,False,520,26
OPSD 500 H20 historical,0,0,30,True,320,16
OPSD 500 H20 historical,0,1,31,True,310,16
OPSD 500 H20 historical,0,2,32,True,408,21
OPSD 500 H20 historical,0,3,33,True,295,15
OPSD 500 H20 historical,0,4,34,True,369,19
OPSD 500 H20 historical,0,5,35,True,315,16
OPSD 500 H20 historical,0,6,36,True,335,17
OPSD 500 H20 historical,0,7,37,True,377,19
OPSD 500 H20 historical,0,8,38,True,337,17
OPSD 500 H20 historical,0,9,39,True,314,16
OPSD 500 H20 historical,1,0,30,True,309,16
OPSD 500 H20 historical,1,1,31,True,348,18
OPSD 500 H20 historical,1,2,32,True,283,15
OPSD 500 H20 historical,1,3,33,True,309,16
OPSD 500 H20 historical,1,4,34,True,447,23
OPSD 500 H20 historical,1,5,35,True,310,16
OPSD 500 H20 historical,1,6,36,False,520,26
OPSD 500 H20 historical,1,7,37,True,271,14
OPSD 500 H20 historical,1,8,38,True,282,15
OPSD 500 H20 historical,1,9,39,True,362,19
OPSD 500 H20 historical,2,0,30,False,520,26
OPSD 500 H20 historical,2,1,31,True,276,14
OPSD 500 H20 historical,2,2,32,True,271,14
OPSD 500 H20 historical,2,3,33,True,293,15
OPSD 500 H20 historical,2,4,34,True,285,15
OPSD 500 H20 historical,2,5,35,True,290,15
OPSD 500 H20 historical,2,6,36,True,294,15
OPSD 500 H20 historical,2,7,37,True,281,15
OPSD 500 H20 historical,2,8,38,True,273,14
OPSD 500 H20 historical,2,9,39,True,283,15
OPSD 500 H20 historical,3,0,30,True,245,13
OPSD 500 H20 historical,3,1,31,True,275,14
OPSD 500 H20 historical,3,2,32,True,280,14
OPSD 500 H20 historical,3,3,33,True,269,14
OPSD 500 H20 historical,3,4,34,True,277,14
OPSD 500 H20 historical,3,5,35,False,520,26
OPSD 500 H20 historical,3,6,36,False,520,26
OPSD 500 H20 historical,3,7,37,True,280,14
OPSD 500 H20 historical,3,8,38,True,279,14
OPSD 500 H20 historical,3,9,39,True,256,13
OPSD 500 H20 historical,4,0,30,False,520,26
OPSD 500 H20 historical,4,1,31,True,302,16
OPSD 500 H20 historical,4,2,32,False,520,26
OPSD 500 H20 historical,4,3,33,True,324,17
OPSD 500 H20 historical,4,4,34,True,263,14
OPSD 500 H20 historical,4,5,35,True,262,14
OPSD 500 H20 historical,4,6,36,True,322,17
OPSD 500 H20 historical,4,7,37,True,320,16
OPSD 500 H20 historical,4,8,38,True,389,20
OPSD 500 H20 historical,4,9,39,True,282,15
OPSD 500 H20 historical,5,0,30,False,520,26
OPSD 500 H20 historical,5,1,31,True,211,11
OPSD 500 H20 historical,5,2,32,True,208,11
OPSD 500 H20 historical,5,3,33,False,520,26
OPSD 500 H20 historical,5,4,34,False,520,26
OPSD 500 H20 historical,5,5,35,True,273,14
OPSD 500 H20 historical,5,6,36,True,230,12
OPSD 500 H20 historical,5,7,37,True,205,11
