H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,seed
1,5,8,1,0.125,0.02241749145005667,0.4708881822128535,75.0,75.0,75.0,1.0,1.0,20.749934306484647,7
2,5,8,1,0.125,0.02241749145005667,0.4708881822128535,37.5,75.0,75.0,0.5,2.0,10.455063611851074,7
5,5,8,0,0.0,0.0,0.32440756488388023,15.0,75.0,75.0,0.2,5.0,6.388597312034108,7
