task_id,horizon,step,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,mean_successful_actions,mean_successful_calls,mean_successful_seconds
3,20,1000,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,12.4,237.2,247.2,0.05227655986509275,19.138461538461534,6.071112949016969,237.2,12.4,6.071112949016969
4,20,1000,20,50,10,8,0.8,0.49016247153664183,0.9433178485456247,15.8,310.5,320.5,0.05088566827697263,19.58820512820513,8.443563498498406,258.125,13.25,7.299247614631895
5,20,1000,20,50,10,8,0.8,0.49016247153664183,0.9433178485456247,14.1,273.1,283.1,0.05162943976565361,19.19050505050505,6.229021826502867,211.375,11.125,4.940376882484998
6,20,1000,20,50,10,7,0.7,0.39677814746114537,0.8922087325936989,17.6,344.7,354.7,0.051058891789962285,19.492020202020207,8.672639390325639,269.57142857142856,14.0,7.04473624316909
7,20,1000,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,16.5,321.0,331.0,0.0514018691588785,19.410433436532507,7.678115175792482,298.8888888888889,15.444444444444445,7.266307762772259
8,20,1000,20,50,10,3,0.3,0.10779126740630099,0.6032218525388546,24.8,493.0,503.0,0.05030425963488844,19.864153961980048,10.3815953250858,430.0,22.0,9.46325340133626
9,20,1000,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,16.0,311.8,321.8,0.05131494547787043,19.45629210186099,6.943777911283542,288.6666666666667,14.88888888888889,6.536671255986827
0,20,1500,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,17.5,342.5,352.5,0.051094890510948905,19.545848810538708,9.328414091712329,322.77777777777777,16.555555555555557,8.898647094572274
1,20,1500,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,15.9,308.6,318.6,0.05152300712896954,19.3679532967033,8.402948558202478,285.1111111111111,14.777777777777779,7.89522913000029
2,20,1500,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,13.8,268.0,278.0,0.05149253731343283,19.43069597069597,6.714216864807531,268.0,13.8,6.714216864807531
3,20,1500,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,12.9,249.7,259.7,0.051661994393271925,19.365384615384617,6.271555485308636,249.7,12.9,6.271555485308636
4,20,1500,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,15.0,294.9,304.9,0.0508646998982706,19.64235805860806,8.119721670693252,269.8888888888889,13.777777777777779,7.592900657444261
5,20,1500,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,12.8,249.0,259.0,0.05140562248995984,19.429166666666667,5.595064432511572,249.0,12.8,5.595064432511572
6,20,1500,20,50,10,6,0.6,0.31267376973365824,0.8318196702937638,21.2,418.0,428.0,0.05071770334928229,19.644392857142858,10.188631185912527,350.0,18.0,8.678836006011503
7,20,1500,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,17.0,328.9,338.9,0.051687442991790816,19.345984814978625,8.148806812381372,328.9,17.0,8.148806812381372
8,20,1500,20,50,10,4,0.4,0.16818032970623614,0.6873262302663417,25.0,496.4,506.4,0.050362610797743755,19.844802530802532,10.923187461507041,461.0,23.5,10.720411756512476
9,20,1500,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,15.0,289.9,299.9,0.05174197999310107,19.305383807369104,6.638263555604499,289.9,15.0,6.638263555604499
