comparison,step,H,reference_step,reference_H,episodes,left_success_rate,right_success_rate,success_change,ci95_low,ci95_high,recovered_episodes,regressed_episodes,p_exact,p_holm_exploratory_family
versus_original_H5,0,20,0,5,100,0.54,0.88,-0.34,-0.44,-0.24,5,39,1.4051624930289108e-07,8.430974958173465e-07
versus_original_H5,500,20,0,5,100,0.87,0.88,-0.01,-0.09,0.07,10,11,1.0,1.0
versus_original_H20,500,20,0,20,100,0.87,0.54,0.33,0.24,0.42,36,3,3.608874976634979e-08,2.8870999813079834e-07
versus_original_H5,1000,20,0,5,100,0.82,0.88,-0.06,-0.15,0.02,7,13,0.26317596435546875,1.0
versus_original_H20,1000,20,0,20,100,0.82,0.54,0.28,0.17,0.38,36,8,2.5448598648836196e-05,0.00012724299324418098
versus_original_H5,1500,20,0,5,100,0.87,0.88,-0.01,-0.09,0.07,9,10,1.0,1.0
versus_original_H20,1500,20,0,20,100,0.87,0.54,0.33,0.24,0.42,36,3,3.608874976634979e-08,2.8870999813079834e-07
step1500_minus_step1000,1500,20,1000,20,100,0.87,0.82,0.05,-0.02,0.12,10,5,0.3017578125,1.0
