horizon,step,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,mean_successful_actions,mean_successful_calls,mean_successful_seconds,evaluation_stage_seconds
5,0,5,50,100,88,0.88,0.8018790057328857,0.9300059356298052,61.59,306.23,316.23,0.20112333866701498,4.969083555656323,14.295985295430292,277.07954545454544,55.80681818181818,13.40908038220236,451.4225847990019
20,0,20,50,100,54,0.54,0.44264860323368227,0.6343919169097589,22.14,437.05,447.05,0.05065781947145635,19.68116824597121,10.41909694890608,366.3888888888889,18.85185185185185,8.794792911872113,332.69167270697653
20,500,20,50,100,87,0.87,0.7901964855992357,0.9224283257275948,17.17,335.02,345.02,0.05125067160169542,19.45082587225894,8.128887160316808,307.37931034482756,15.850574712643677,7.543764776028372,342.50280303903855
20,1000,20,50,100,82,0.82,0.7333264161369926,0.8829977450105364,16.36,319.19,329.19,0.05125473855697234,19.425474578931336,7.841418289497961,275.109756097561,14.24390243902439,7.014702949401775,326.4549610740505
20,1500,20,50,100,87,0.87,0.7901964855992357,0.9224283257275948,16.61,324.59,334.59,0.05117224806679195,19.492197142889044,8.033081011864123,295.39080459770116,15.206896551724139,7.449594557544901,326.264188239933
