subset,comparison,family,left_step,left_H,right_step,right_H,hierarchical_ci95_low,hierarchical_ci95_high,episodes,left_success_rate,right_success_rate,success_change,ci95_low,ci95_high,recovered_episodes,regressed_episodes,p_exact,p_holm
selected_10,training_benefit,secondary,500,20,0,20,-0.23333333333333334,0.0,30,0.13333333333333333,0.2,-0.06666666666666667,-0.1,0.0,0,2,0.5,1.0
selected_10,replanning_gap,secondary,0,5,0,20,-0.13333333333333333,0.0,30,0.16666666666666666,0.2,-0.03333333333333333,-0.1,0.0,0,1,1.0,1.0
novel_instruction,training_benefit,primary,500,20,0,20,-0.23333333333333334,0.0,30,0.13333333333333333,0.2,-0.06666666666666667,-0.1,0.0,0,2,0.5,0.5
novel_instruction,replanning_gap,secondary,0,5,0,20,-0.13333333333333333,0.0,30,0.16666666666666666,0.2,-0.03333333333333333,-0.1,0.0,0,1,1.0,1.0
