condition,H,episodes,successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_actions,mean_seconds,successful_mean_actions,successful_mean_seconds
original_h5,5,100,54,0.54,0.44264860323368227,0.6343919169097589,111.29,555.48,31.516635620938615,423.1111111111111,24.12722229457426
original_h20,20,100,58,0.58,0.4820648670304296,0.6720161732564526,25.42,501.04,20.133026444250717,362.13793103448273,14.802645802160662
step500_h20,20,100,35,0.35,0.26364248243097527,0.44745556703112027,32.02,633.53,25.49171551398933,481.51428571428573,20.236173562013676
step500_h5,5,100,17,0.17,0.10893566114059931,0.25548004767601123,137.96,689.48,38.96963874418758,482.2352941176471,26.794801370344537
