step,horizon,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,mean_successful_actions,mean_successful_calls,mean_successful_seconds
0,5,5,50,100,88,0.88,0.8018790057328857,0.9300059356298052,61.59,306.23,316.23,0.20112333866701498,4.969083555656323,14.45906767943874,277.07954545454544,55.80681818181818,13.587529011631638
1500,5,5,50,100,86,0.86,0.7786281178903616,0.9147365634006086,60.69,301.72,311.72,0.20114675858411774,4.966345097391739,14.547700783088803,266.1860465116279,53.63953488372093,13.546617621805
