JobID|JobName|State|ExitCode|Elapsed|AllocCPUS|ReqMem|MaxRSS|TotalCPU
60040618|freq-p50-h15-h20|CANCELLED by 3158914|0:0|00:15:15|4|40G||38:20.529
60040618.batch|batch|CANCELLED|0:15|00:15:26|4||28025676K|38:20.236
60040618.extern|extern|CANCELLED|0:0|00:15:15|4|||00:00:00
60040618.0|bash|COMPLETED|0:0|00:00:02|1||16372K|00:00.053
60040618.1|bash|COMPLETED|0:0|00:00:01|1||16396K|00:00.089
60040618.2|bash|COMPLETED|0:0|00:00:01|1||15680K|00:00.035
60040618.3|bash|COMPLETED|0:0|00:00:01|1||7.50M|00:00.077
60040618.4|bash|COMPLETED|0:0|00:00:00|1||15552K|00:00.037
